_;wappen_URL;Club;League;League_URL;League1;Value_Nov_1_2010_URL;Value_Nov_1_2010;Current_value_URL;Current_value;_1
,6;https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;;;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2013;€370.50m;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2023;€773.30m;108.7 %
,7;https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;;;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2013;€169.00m;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2023;€615.10m;264.0 %
,8;https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;;;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2013;€105.00m;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2023;€591.50m;463.3 %
,9;https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023;Brighton & Hove Albion;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2013;€25.03m;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023;€455.65m;1720.8 %
,10;https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023;Brentford FC;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/fc-brentford/kader/verein/1148/saison_id/2013;€6.65m;https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2023;€393.80m;5821.8 %
,11;https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2013;€23.80m;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2023;€367.18m;1442.8 %
,12;https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton FC;Premier League;;;https://www.transfermarkt.com/fc-everton/kader/verein/29/saison_id/2013;€157.25m;https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2023;€365.15m;132.2 %
,13;https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023;West Ham United;Premier League;;;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2013;€95.75m;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2023;€362.90m;279.0 %
,14;https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2023;Nottingham Forest;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2013;€32.70m;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2023;€335.48m;925.9 %
,15;https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2023;Crystal Palace;Premier League;;;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2013;€46.00m;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2023;€299.45m;551.0 %
,16;https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2023;AFC Bournemouth;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2013;€10.45m;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2023;€271.00m;2493.3 %
,17;https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham FC;Premier League;;;https://www.transfermarkt.com/fc-fulham/kader/verein/931/saison_id/2013;€94.75m;https://www.transfermarkt.com/fulham-fc/kader/verein/931/saison_id/2023;€249.00m;162.8 %
,18;https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2023;Burnley FC;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/fc-burnley/kader/verein/1132/saison_id/2013;€15.73m;https://www.transfermarkt.com/burnley-fc/kader/verein/1132/saison_id/2023;€190.85m;1113.7 %
,19;https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2023;Sheffield United;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2013;€8.25m;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2023;€104.50m;1166.7 %
,20;https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023;Luton Town;National League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/CNAT;National League;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2013;€2.25m;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2023;€50.50m;2144.4 %
