_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/hull-city/transfers/verein/3008/saison_id/2014,Hull City,€48.22m,https://www.transfermarkt.com/hull-city/transfers/verein/3008/w_s//pos//saison_id/2014,30,€18.70m,28,€-29.52m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2014,Newcastle United,€45.02m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2014,23,€23.87m,25,€-21.15m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/queens-park-rangers/transfers/verein/1039/saison_id/2014,Queens Park Rangers,€43.54m,https://www.transfermarkt.com/queens-park-rangers/transfers/verein/1039/w_s//pos//saison_id/2014,35,€26.04m,35,€-17.50m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/swansea-city/transfers/verein/2288/saison_id/2014,Swansea City,€41.53m,https://www.transfermarkt.com/swansea-city/transfers/verein/2288/w_s//pos//saison_id/2014,24,€61.90m,27,€20.37m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2014,Everton FC,€40.16m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2014,17,€1.90m,15,€-38.26m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2014,West Ham United,€35.15m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2014,25,€4.40m,26,€-30.75m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2014,Crystal Palace,€31.22m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2014,41,€2.87m,39,€-28.35m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2014,West Bromwich Albion,€24.88m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2014,16,€2.30m,20,€-22.58m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2014,Leicester City,€22.86m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2014,30,-,23,€-22.86m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2014,Sunderland AFC,€22.52m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2014,21,€7.25m,31,€-15.27m
